row,waypoint_number,default_waypoint_name,waypoint_id_suggestion,level,map_region,current_ruling_faction,current_ruling_player,default_factions_present,capital_faction,default_ruler_player,new_waypoint_name,conquest_achieved
217,68,Ethir Haraduin,ethir_haraduin,1,FAR_HARAD (MANGROVE),NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
218,60,Forest Gate,forest_gate,1,VALES_OF_ANDUIN,NONE,Neutral Zone,"LOTHLORIEN, GUNDABAD",,Neutral Zone,,
219,134,Framsburg,framsburg,1,VALES_OF_ANDUIN,NONE,Neutral Zone,"LOTHLORIEN, GUNDABAD",,Neutral Zone,,
220,125,Gladden Confluence,gladden_confluence,1,VALES_OF_ANDUIN (GLADDEN_FIELDS),NONE,Neutral Zone,"LOTHLORIEN, GUNDABAD",,Neutral Zone,,
221,64,Greenway Crossroads,greenway_crossroads,1,ERIADOR,NONE,Neutral Zone,"DUNEDAIN, GUNDABAD",,Neutral Zone,,
222,76,Himling,himling,1,OCEAN,NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
223,110,Horn of Harad,horn_of_harad,1,FAR_HARAD (BUSHLAND),NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
224,200,Khandwater Ford,khandwater_ford,1,LOSTLADEN,NONE,Neutral Zone,UNALIGNED,,,,
225,146,Meneltarma,meneltarma,1,MENELTARMA,NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
226,274,Mount Athras,mount_athras,1,HARAD_MOUNTAINS,NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
227,150,Mount Belegwaeras,mount_belegwaeras,1,HARAD_MOUNTAINS,NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
228,135,Mount Laegras,mount_laegras,1,HARAD_MOUNTAINS,NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
229,235,North Downs,north_downs,1,ERIADOR (DOWNS),NONE,Neutral Zone,"DUNEDAIN, GUNDABAD",,Neutral Zone,,
230,57,North Khand Road,north_khand_road,1,RHUN,NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
231,147,North Undeep,north_undeep,1,BROWN_LANDS,NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
232,74,Old Ford,old_ford,1,VALES_OF_ANDUIN,NONE,Neutral Zone,"LOTHLORIEN, GUNDABAD",,Neutral Zone,,
233,127,Old Rhovanion,old_rhovanion,1,WILDERLAND,NONE,Neutral Zone,"GUNDABAD, MORDOR, DOL_GULDUR",,Neutral Zone,,
234,51,Rauros,rauros,1,VALES_OF_ANDUIN,NONE,Neutral Zone,"LOTHLORIEN, GUNDABAD",,Neutral Zone,,
235,223,Redway,redway,1,RHUN,NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
236,114,South Downs,south_downs,1,ERIADOR (DOWNS),NONE,Neutral Zone,"DUNEDAIN, GUNDABAD",,_Dayne_,,
237,145,South Eriador (C),south_eriador_c,1,ERIADOR,NONE,,GUNDABAD,,,,
238,56,South Undeep,south_undeep,1,BROWN_LANDS,NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
239,250,Taurelondë,taurelond,1,FAR_HARAD (GRASSLANDS),NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
240,144,Tharbad,tharbad,1,ERIADOR,NONE,Neutral Zone,"DUNEDAIN, GUNDABAD",,Neutral Zone,,
241,38,The Pits,the_pits,1,ANGMAR,NONE,Neutral Zone,"UNALIGNED, ANGMAR",,Neutral Zone,,
242,166,Tol Fuin,tol_fuin,1,OCEAN,NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
243,15,Tol Hîth,tol_h_th,1,FAR_HARAD (BUSHLAND),NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
244,242,Tol Morwen,tol_morwen,1,OCEAN,NONE,Neutral Zone,UNALIGNED,,Neutral Zone,,
245,282,Trollshaws,trollshaws,1,TROLLSHAWS,NONE,Neutral Zone,"DUNEDAIN, GUNDABAD, ANGMAR",,_Dayne_,,
246,178,Withywindle Valley,withywindle_valley,1,OLD_FOREST,NONE,Neutral Zone,OLD_FOREST,,Neutral Zone,,
247,112,Ashen Ford,ashen_ford,3,RHÚDEL (STEPPE),RHÚDEL,Afrobro13,RHÚDEL,,Afrobro13,,
248,265,Atalak,atalak,2,RHÚDEL,RHÚDEL,Afrobro13,RHÚDEL,,Afrobro13,,
249,202,Bazylan,bazylan,2,RHÚDEL,RHÚDEL,Afrobro13,RHÚDEL,,Afrobro13,,
250,260,Belrhuk,belrhuk,2,RHÚDEL,RHÚDEL,Afrobro13,RHÚDEL,,Afrobro13,,
251,247,Ford of Forunen,ford_of_forunen,3,RHÚDEL (STEPPE),RHÚDEL,Afrobro13,RHÚDEL,,Afrobro13,,
252,149,Karanoda,karanoda,2,RHÚDEL,RHÚDEL,Afrobro13,RHÚDEL,,Afrobro13,,
253,94,Karslan,karslan,2,RHÚDEL,RHÚDEL,Afrobro13,RHÚDEL,,Afrobro13,,
254,275,Khamûl's Tower,kham_l_s_tower,2,ERYN_GARAN,RHÚDEL,Afrobro13,RHÚDEL,,Afrobro13,,
255,108,Munbelik (Capital),munbelik_capital,3,RHÚDEL,RHÚDEL,Afrobro13,RHÚDEL,,,,
256,88,Northern Marches,northern_marches,1,RHÚDEL (STEPPE),RHÚDEL,Afrobro13,RHÚDEL,,Afrobro13,,
257,27,Pass of Rhúdel,pass_of_rh_del,2,RHÚDEL,RHÚDEL,Afrobro13,RHÚDEL,,Afrobro13,,
258,55,Rhúnost,rh_nost,2,RHÚDEL,RHÚDEL,Afrobro13,RHÚDEL,,Afrobro13,,
259,99,Southern Marches,southern_marches,1,RHÚDEL (STEPPE),RHÚDEL,Afrobro13,RHÚDEL,,Afrobro13,,
260,2,Taragal,taragal,3,RHÚDEL,RHÚDEL,Afrobro13,RHÚDEL,,Afrobro13,,
261,280,Aldburg,aldburg,2,ROHAN (EASTFOLD),ROHAN,NomadicJack9,ROHAN,Leave the Faction Locked Column alone,NomadicJack9,,
262,18,Deeping-coomb,deeping_coomb,2,ROHAN (WESTFOLD),ROHAN,NomadicJack9,ROHAN,,NomadicJack9,,
263,169,Dunharrow,dunharrow,1,WHITE_MOUNTAINS,ROHAN,NomadicJack9,GONDOR (ARNÓRIEN),,Killstreak7634,,
264,246,Eastmark,eastmark,2,ROHAN (EASTEMNET),ROHAN,NomadicJack9,ROHAN,,NomadicJack9,,
265,140,Edoras (Capital),edoras_capital,3,ROHAN (EASTFOLD),ROHAN,NomadicJack9,ROHAN,,NomadicJack9,,
266,181,Entwade,entwade,2,ROHAN (WESTEMNET),ROHAN,NomadicJack9,ROHAN,,NomadicJack9,,
267,31,Grimslade,grimslade,2,ROHAN (WESTFOLD),ROHAN,NomadicJack9,ROHAN,,NomadicJack9,,
268,193,Helm's Deep,helm_s_deep,3,ROHAN (WESTFOLD),ROHAN,NomadicJack9,ROHAN,,NomadicJack9,,
269,283,Mering Stream,mering_stream,2,ROHAN (EASTEMNET),ROHAN,NomadicJack9,ROHAN,,NomadicJack9,,
270,19,Woldhall,woldhall,1,THE_WOLD,ROHAN,NomadicJack9,ROHAN,,NomadicJack9,,
271,164,Aktun Kâh,aktun_k_h,1,FAR_HARAD_JUNGLE,TAURETHRIM,,TAURETHRIM,,,,
272,261,Lakin Pâh,lakin_p_h,1,FAR_HARAD_JUNGLE,TAURETHRIM,,TAURETHRIM,,,,
273,201,Mûmakâh,m_mak_h,1,FAR_HARAD_JUNGLE,TAURETHRIM,,TAURETHRIM,,,,
274,154,Nohoch Kâh,nohoch_k_h,1,FAR_HARAD_JUNGLE,TAURETHRIM,,TAURETHRIM,,,,
275,80,Otoch Kâh,otoch_k_h,1,FAR_HARAD_JUNGLE,TAURETHRIM,,TAURETHRIM,,,,
276,138,Pishan Kâh,pishan_k_h,1,FAR_HARAD_JUNGLE,TAURETHRIM,,TAURETHRIM,,,,
277,101,Shaman Pâh,shaman_p_h,1,FAR_HARAD_JUNGLE,TAURETHRIM,,TAURETHRIM,,,,
278,93,Tûnich Kâh,t_nich_k_h,1,FAR_HARAD_JUNGLE,TAURETHRIM,,TAURETHRIM,,,,
279,238,Ya'ash Kâh,ya_ash_k_h,1,FAR_HARAD_JUNGLE,TAURETHRIM,Neutral Zone,TAURETHRIM,,,,
280,21,Dal Minthruil (Capital),dal_minthruil_capital,3,WOODLAND_REALM,WOOD_ELF,rock_giant,WOOD_ELF,,rock_giant,,
281,83,Ellythir,ellythir,2,WOODLAND_REALM,WOOD_ELF,rock_giant,WOOD_ELF,,rock_giant,,
282,224,Enchanted River,enchanted_river,1,MIRKWOOD (NORTHERN),WOOD_ELF,rock_giant,WOOD_ELF,,rock_giant,Enchanted River,
283,50,Enduil's Gate,enduil_s_gate,2,WOODLAND_REALM,WOOD_ELF,rock_giant,WOOD_ELF,,rock_giant,,
284,273,Thranduil's Halls,thranduil_s_halls,3,WOODLAND_REALM,WOOD_ELF,rock_giant,WOOD_ELF,,rock_giant,,
